（内二黄导板）, 金 乌 坠 玉兔 升 黄昏 时候
（西皮摇板）, 听说 反 了 陶 三 春   吓 得 孤三魂少 二 魂   回头 便 把 御亲 叫   弟妹 人马 你 担承
（数板）, 起 南来 了 一 妇人
（二黄摇板）, 汤勤 说话 口 似铁   舌尖 杀人 哪 见血   人 来 与 爷忙搭轿   二 次 再 搜 一 捧 雪
（二黄摇板）, 乌鸦 不 住 连天 叫   眼跳 心 惊为 哪条
（二黄摇板）, 听 一言 来 怒气 生   骂声 怀古 太 欺情   老夫 在朝 来 保奏   保 你 太 常 寺 正卿   人 来 与 爷再 搜寻
（二黄摇板）, 搜杯 不 出 面带 红   我 今竟 伤 旧 宾朋   人 来 与 爷忙搭轿   三 日 后 定要 灭尔 满门
（二黄摇板）, 一 见 玉 杯 喜吟吟   办事 还 是 小莫成
（二黄摇板）, 听 一言 来 心内惊   倒 叫 怀古 无 计行
（二黄摇板）, 叫人 来 掌灯 出 衙厅   大街 寻找 小 莫成
（二黄摇板）, 迈步 且 把 大街进
（二黄摇板）, 又 听 有人 发悲声
（二黄摇板）, 尊声 夫人 莫高声   休要 惊动 了 严 府 人   悲切切 且 把 二 堂 进   披枷带锁 为何 情
（二黄摇板）, 一 见 公文 心内惊   吓 得 我 三 魂 去 二 魂   走向 前来 忙 跪 定   贤弟 搭救 命 残生
（二黄摇板）, 叫 你 反 来 你 不 反   叫 你 行 来 你 不行   待 等 五 更 天明亮   我 坐 法场 你 受刑
（二黄导板）, 一 家 人 只 哭得 如 酒醉
（二黄原板）, 这 一 旁 哭 坏 了 薛氏 夫人   戚大人 八 抬官 救 不得家 主爷 性命
（二黄摇板）, 走向 前来 双膝 跪   我 家 老爷 有 救星
（二黄导板）, 冀州 城替 主 换了刑
（二黄摇板）, 莫成 到了 枉死 城   眼望钱塘哭 文禄
（二黄摇板）, 小人 有言 未 禀明
（二黄摇板）, 老爷 一 言 出 了 唇   文禄 孩儿 有靠成   水流 长江 归 大海   原物 交还 旧 主人
（二黄摇板）, 胸中 大事 安排 定   又 听 樵楼 打 四 更
（西皮摇板）, 适才 领了 大哥命
（西皮摇板）, 一路 之上 要 小心
（西皮摇板）, 迈开 大步 往前 闯
（西皮摇板）, 又 只见 红 日落 西方
（西皮导板）, 俺 李逵 作事 太 莽撞
（西皮快板）, 是 何人 假冒 梁山 称 宋江   太 平庄
（西皮导板）, 我 翻身 跨上 桃花马
（西皮摇板）, 佘塘关 来 了 我 佘赛 花   心中 恼恨 杨家将   不 该 把 我 兄长 杀   父王 帐 中 令 传下   倒 教 奴 家 怒气发   扣定 玲珑 锦 战 甲   梨花 银 枪手 中 拿   叫 三军 与 我 把关 下
（西皮摇板）, 要 与 那 杨家将 动杀法
（西皮流水板）, 两 国 不和 把 仗 打  
（西皮摇板）, 人 来 带过 少爷 的 马   阵前 去 会 佘赛花
（西皮摇板）, 阵前 来 了 杨家将   不由 奴 家 怒 胸膛   提枪 拍马 往前 闯   少时 教 你 无 下场
（西皮摇板）, 二 人 庙 内 双 跪 定
（西皮摇板）, 夫妻 双双 把 亲成
（西皮摇板）, 先 拜 天地 与 神灵
（西皮摇板）, 然后 夫妻 把 礼行
（西皮摇板）, 在 庙中 成就 了 婚姻 事
（西皮摇板）, 倒凤颠鸾 叙 恩情
（西皮摇板）, 良缘 今日 得 配定
（西皮摇板）, 一同 上马 住 了 刀兵
